DT ENTREGA;ABERTURA CH;CHAMADO ORACLE;OCORRÊNCIA;CONCESSIONÁRIA;CÓD.;CIDADE;UF;CTE CEVA;CIA;TRANSPORTADORA;NOTA FISCAL;VOLUME;RESSALVA; RETORNO DO PARCEIRO;AÇÃO SIT ;PRAZO FINAL;STATUS FINAL;STATUS DO CHAMADO ;VENCIMENTO;ACOMPANHAMENTO EXTRAVIO;OBSERVAÇÃO;TEMPO EM ABERTO;REGIÃO;Aging
02/01/2025;02/01/2026;260102-000019;EXTRAVIO ;GRAMARCA (VARZEA GRANDE);G22;VARZEA GRANDE;MT;679409;SCB01;CARVALIMA;13999904;7273109;SIM;05/01/2026 - NOTIFICAÇÃO A CARVALIMA;FINALIZADO COMO RESOLVIDO;09/01/2026;LOCALIZADO;FINALIZADO;FINALIZADO;;;-;CO;Dia a Dia
02/01/2025;03/01/2026;260103-000015;EXTRAVIO ;ACCIOLY BARAO DE LIMEIRA;A50;RIO DE JANEIRO;RJ;679244;SCB01;CAMILO;13995573;7251861;SIM;05/01/2026 - NOTIFICAÇÃO A CAMILO;FINALIZADO COMO RESOLVIDO;09/01/2026;LOCALIZADO;FINALIZADO;FINALIZADO;;;-;Sudeste;Dia a Dia
05/01/2026;05/01/2026;260105-000155;EXTRAVIO ;AUTUS (AFONSO PENA);X44;UBERLANDIA;MG;680581;SCB01;OPERAÇÃO SOR;14012251;7275968;SIM;05/01/2026 - NOTIFICAÇÃO A XD MINAS;FINALIZADO COMO RESOLVIDO;12/01/2026;LOCALIZADO;FINALIZADO;FINALIZADO;;;-;Sudeste;Dia a Dia
23/12/2025;05/01/2026;260105-000086;EXTRAVIO ;CVC (VITORIA);L93;VITORIA;ES;678517;SCB01;CAMILO;13981178;7204477;SIM;05/01/2026 - NOTIFICAÇÃO A CAMILO;FINALIZADO COMO RESOLVIDO;12/01/2026;LOCALIZADO;FINALIZADO;FINALIZADO;;;-;Sudeste;Dia a Dia
06/11/2026;05/01/2026;260105-000310;EXTRAVIO ;GARCIA (MANAUS);J37;MANAUS;AM;661699;SCB01;NORTEX;13772641;6395442;SIM;08/01/2026 - NOTIFICAÇÃO A NORTEX;CARTA ENVIADA;12/01/2026;NÃO LOCALIZADO;FINALIZADO;FINALIZADO;;;-;Norte;Dia a Dia
29/12/2025;06/01/2026;260106-000031;EXTRAVIO ;PIANNA (LINHARES);J67;LINHARES;ES;229932;GRU01;CAMILO;1284269;2091603;SIM;09/01/2026 - NOTIFICAÇÃO A CAMILO;FINALIZADO COMO RESOLVIDO;13/01/2026;LOCALIZADO;FINALIZADO;FINALIZADO;;;-;Sudeste;Dia a Dia
29/12/2025;06/01/2026;260106-000030;EXTRAVIO ;PIANNA (LINHARES);J67;LINHARES;ES;229932;GRU01;CAMILO;1283835;2091602;SIM;09/01/2026 - NOTIFICAÇÃO A CAMILO;FINALIZADO COMO RESOLVIDO;13/01/2026;LOCALIZADO;FINALIZADO;FINALIZADO;;;-;Sudeste;Dia a Dia
07/01/2026;07/01/2026;260107-000266;EXTRAVIO ;ACCIOLY BARAO DE LIMEIRA;A50;RIO DE JANEIRO;RJ;680549;SCB01;CAMILO;14011881;7317061/7317064;SIM;09/01/2026 - NOTIFICAÇÃO A CAMILO;FINALIZADO COMO RESOLVIDO;14/01/2026;LOCALIZADO;FINALIZADO;FINALIZADO;;;-;Sudeste;Dia a Dia
26/12/2025;07/01/2026;260107-000176;EXTRAVIO ;GURIVEL (PIANNA SAO MATEUS);J97;SÃO MATEUS;ES;677770;SCB01;CAMILO;13976125;80209991;SIM;09/01/2026 - NOTIFICAÇÃO A CAMILO;FINALIZADO COMO RESOLVIDO;14/01/2026;LOCALIZADO;FINALIZADO;FINALIZADO;;;-;Sudeste;Dia a Dia
07/01/2026;08/01/2026;260108-000037;EXTRAVIO ;RIO NORTE (SANTAREM);S68;SANTAREM ;PA;230405;GRU01;CARVALIMA;1286516;23367;SIM;09/01/2026 - NOTIFICAÇÃO A CARVALIMA;CARTA ENVIADA;15/01/2026;NÃO LOCALIZADO;FINALIZADO;FINALIZADO;;;-;Norte;Dia a Dia
06/01/2026;08/01/2026;260108-000031;EXTRAVIO ;AMERICAS (BARRA);F34;RIO DE JANEIRO;RJ;680133;SCB01;XD DIADEMA;14009530;298414;SIM;09/01/2026 - NOTIFICAÇÃO A XD DDA;CARTA ENVIADA;15/01/2026;NÃO LOCALIZADO;FINALIZADO;FINALIZADO;;;-;Sudeste;Dia a Dia
12/01/2026;12/01/2026;260112-000334;EXTRAVIO ;PIANNA (LINHARES);J67;LINHARES;ES;679259;SCB01;OPERAÇÃO SOR;13995255;7255534;SIM;15/01/2026 - NOTIFICAÇÃO CAMILO;CARTA ENVIADA;19/01/2026;NÃO LOCALIZADO;FINALIZADO;FINALIZADO;;;-;Sudeste;Dia a Dia
21/11/2025;13/01/2026;260113-000351;EXTRAVIO ;VESSA (VILA VELHA);B15;VILA VELHA;ES;227674;GRU01;CAMILO;1274768;2017399;SIM;15/01/2026 - NOTIFICAÇÃO CAMILO;CARTA ENVIADA;20/01/2026;NÃO LOCALIZADO;FINALIZADO;FINALIZADO;;;-;Sudeste;Dia a Dia
12/12/2025;13/01/2026;260113-000341;EXTRAVIO ;VESSA (VILA VELHA);B15;VILA VELHA;ES;676130;SCB01;CAMILO;13958318;7130864;SIM;15/01/2026 - NOTIFICAÇÃO CAMILO;CARTA ENVIADA;20/01/2026;NÃO LOCALIZADO;FINALIZADO;FINALIZADO;;;-;Sudeste;Dia a Dia
29/12/2025;14/01/2026;260114-000034;EXTRAVIO ;GRAMARCA (MIGUEL SUTIL);G21;CUIABA ;MT;678874;SCB01;CARVALIMA;13984958 / 13986511;7220097 / 7226873;SIM;15/01/2026 - NOTIFICAÇÃO CARVALIMA;CARTA ENVIADA;21/01/2026;NÃO LOCALIZADO;FINALIZADO;FINALIZADO;;;-;CO;Dia a Dia
30/12/2025;16/01/2026;260116-000155;EXTRAVIO ;AUTOMEC (INDAIATUBA);I80;INDAIATUBA;SP;679729;SCB01;ALFA;14004927;7296069;SIM;20/01/2026 - NOTIFICAÇÃO ALFA;CARTA ENVIADA;23/01/2026;NÃO LOCALIZADO;FINALIZADO;FINALIZADO;;;-;Sudeste;Dia a Dia
29/12/2025;17/01/2026;260117-000067;EXTRAVIO ;PERKAL (CAMPO GRANDE);P04;CAMPO GRANDE;MS;678885;SCB01;CARVALIMA;13991763;7246393;SIM;20/01/2026 - NOTIFICAÇÃO CARVALIMA;FINALIZADO COMO RESOLVIDO;23/01/2026;LOCALIZADO;FINALIZADO;FINALIZADO;;;-;CO;Dia a Dia
19/01/2026;19/01/2026;260119-000179;EXTRAVIO ;JORLAN (BARAO H. DE MELO);J66;BELO HORIZONTE;MG;681807;SCB01;XD MINAS;14026239;80222976;SIM;20/01/2026 - NOTIFICAÇÃO XD MINAS;FINALIZADO COMO RESOLVIDO;26/01/2026;LOCALIZADO;FINALIZADO;FINALIZADO;;;-;Sudeste;Dia a Dia
30/12/2025;19/01/2026;260119-000300;EXTRAVIO ;GARCIA (MANAUS);J37;MANAUS;AM;670485;SCB01;NORTEX;13882875;6810168;SIM;20/01/2026 - NOTIFICAÇÃO NORTEX;CARTA ENVIADA;26/01/2026;NÃO LOCALIZADO;FINALIZADO;FINALIZADO;;;-;Norte;Dia a Dia
30/12/2025;19/01/2026;260119-000308;EXTRAVIO ;GARCIA (MANAUS);J37;MANAUS;AM;228526;GRU01;NORTEX;1277232;2033035.;SIM;20/01/2026 - NOTIFICAÇÃO NORTEX;CARTA ENVIADA;26/01/2026;NÃO LOCALIZADO;FINALIZADO;FINALIZADO;;;-;Norte;Dia a Dia
29/12/2025;20/01/2026;260120-000229;EXTRAVIO ;VEIBRAS;V43;SÃO JOSE DOS CAMPOS ;SP;679861;SCB01;XD DIADEMA;14004584;7292574;SIM;20/01/2026 - NOTIFICAÇÃO XD DDA;CARTA ENVIADA;27/01/2026;NÃO LOCALIZADO;FINALIZADO;FINALIZADO;;;-;Sudeste;Dia a Dia
20/01/2026;20/01/2026;260120-000368;EXTRAVIO ;WEST MOTORS (PIRACICABA);W25;PIRACICABA;SP;230933;GRU01;ALFA;1288687/1288686;2136996/2136997;SIM;23/01/2026 - NOTIFICAÇÃO ALFA;CARTA ENVIADA;27/01/2026;NÃO LOCALIZADO;FINALIZADO;FINALIZADO;;;-;Sudeste;Dia a Dia
20/01/2026;20/01/2026;260120-000322;EXTRAVIO ;JORLAN (BARAO H. DE MELO);J66;BELO HORIZONTE;MG;231060;GRU01;XD MINAS;1289189;2141767;SIM;23/01/2026 - NOTIFICAÇÃO XD MINAS;FINALIZADO COMO RESOLVIDO;27/01/2026;LOCALIZADO;FINALIZADO;FINALIZADO;;;-;Sudeste;Dia a Dia
